,name,github_id,category,group,group_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,monthly_downloads,projectrank_placing,labels,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
30,spire,spiffe/spire,machine,,,https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-11-09 17:34:40.000000,2023-11-09 12:38:39,6274.0,154.0,408.0,82.0,3345.0,147.0,1157.0,1541.0,2023-11-08 02:01:22,1.8.4,92.0,The SPIFFE Runtime Environment.,121.0,121.0,178.0,32,True,2269.0,2.0,"['cncf', 'linux-foundation']",165703.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,,
31,dex,dexidp/dex,authentication,,,https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-11-09 16:42:52.000000,2023-10-25 14:03:03,2625.0,73.0,1473.0,178.0,1914.0,280.0,796.0,8546.0,2023-06-30 14:12:39,2.37.0,80.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,143.0,143.0,223.0,31,True,3.0,2.0,['linux-foundation'],305.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,,
32,spicedb,authzed/spicedb,authorization,,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-11-08 08:54:49.376197,2023-11-06 23:34:50,3299.0,242.0,208.0,37.0,1214.0,103.0,300.0,3980.0,2023-11-08 08:43:58,1.27.0,60.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",38.0,38.0,37.0,31,True,50999.0,2.0,,31473.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-11-08 08:54:49.376197,1344315.0,,,,,,4.0,,,,,,,,,
33,faceswap,deepfakes/faceswap,face,,,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-10-24 22:47:28.000000,2023-10-24 22:47:08,1782.0,13.0,12494.0,1533.0,513.0,15.0,815.0,47476.0,2023-06-18 18:08:19,2.2.0,4.0,Deepfakes Software For All.,,,97.0,30,True,2693.0,2.0,,153511.0,,,,,,,,,,,,,,,,,,,
34,deepface,serengil/deepface,face,,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-10-30 08:51:50.000000,2023-10-25 14:29:02,1095.0,18.0,1534.0,110.0,89.0,8.0,788.0,8060.0,,,,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",2107.0,2107.0,47.0,30,True,128681.0,2.0,,,,,,,,,,,,,deepface,https://pypi.org/project/deepface,128681.0,,,,,,
35,boundary,hashicorp/boundary,machine,,,https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2023-11-09 17:42:50.000000,2023-11-09 14:55:47,3516.0,207.0,251.0,201.0,3708.0,75.0,239.0,3719.0,2023-11-02 16:41:46,0.14.2,48.0,Boundary enables identity-based access management for dynamic infrastructure.,8.0,8.0,145.0,30,False,229289.0,3.0,['hashicorp'],,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-11-02 16:51:18.717636,10547315.0,,,,,,11.0,,,,,,,,,
36,did-jwt,decentralized-identity/did-jwt,decentralized,,,https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-11-09 15:31:48.000000,2023-11-01 11:36:39,608.0,26.0,63.0,39.0,211.0,4.0,83.0,304.0,2023-11-01 11:37:20,7.4.5,100.0,Create and verify DID verifiable JWTs in Javascript.,4104.0,4104.0,41.0,30,True,144523.0,1.0,['dif'],,,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,144523.0,,,,,,,,,,
37,deepfacelab,iperov/DeepFaceLab,face,,,https://github.com/iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,8902.0,1102.0,131.0,541.0,801.0,43238.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,DeepFaceLab is the leading software for creating deepfakes.,21.0,21.0,22.0,29,True,3752.0,3.0,,165115.0,,,,,,,,,,,,,,,,,,,
38,openface,cmusatyalab/openface,face,,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3484.0,759.0,74.0,9.0,370.0,14907.0,2016-02-25 17:42:46,0.2.1,4.0,Face recognition with deep neural networks.,67.0,67.0,30.0,29,True,1642.0,3.0,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,161000.0,,,,,,70.0,,,,,,,,,
39,casdoor,casdoor/casdoor,idp,,,https://github.com/casbin/casdoor,https://github.com/casbin/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-11-09 14:13:05.702937,2023-11-09 13:52:52,2089.0,238.0,858.0,57.0,1289.0,109.0,988.0,7329.0,2023-11-09 14:05:39,1.451.0,100.0,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,3.0,3.0,145.0,29,True,2402.0,2.0,,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-11-09 14:13:05.702937,88903.0,,casbin/casdoor,,,,9.0,,,,,,,,,
